context,question,category,answer
Chae-yeong and Arthur inform Mariana that the readings for the next session of Stephen's seminar weren't available in the print shop on Monday. Rita decides to go and chcek if the situation's changed tomorrow and she'll let everyone know.,When did the seminar begin?,Typical Time, 10:00 AM
Chae-yeong and Arthur inform Mariana that the readings for the next session of Stephen's seminar weren't available in the print shop on Monday. Rita decides to go and chcek if the situation's changed tomorrow and she'll let everyone know.,What happened after the situation changed?,Event Ordering, rita went to the print shop
Chae-yeong and Arthur inform Mariana that the readings for the next session of Stephen's seminar weren't available in the print shop on Monday. Rita decides to go and chcek if the situation's changed tomorrow and she'll let everyone know.,Is the situation still unclear after the seminar?,Stationarity, no
Ost bought a garage place for a good price. He intends to rent it out. He thinks it will be a better deal than keeping savings in the bank. The prices of garage place in Belgrade will grow as there are more and more vehicles.,How many times a week does he rent the garage place?,Frequency, once
Ost bought a garage place for a good price. He intends to rent it out. He thinks it will be a better deal than keeping savings in the bank. The prices of garage place in Belgrade will grow as there are more and more vehicles.,How long will the prices of the garage place increase?,Event Duration, 10 years
Ost bought a garage place for a good price. He intends to rent it out. He thinks it will be a better deal than keeping savings in the bank. The prices of garage place in Belgrade will grow as there are more and more vehicles.,When did the prices start to rise?,Typical Time, 1990
Ost bought a garage place for a good price. He intends to rent it out. He thinks it will be a better deal than keeping savings in the bank. The prices of garage place in Belgrade will grow as there are more and more vehicles.,What happens after the prices of the garage place will increase?,Event Ordering, people will buy garage places
Hania has been traveling for 3 hours already. She will get there around 7pm. Julia will order takeaway pizza for her.,How many times a week does she get to the store?,Frequency, once
Hania has been traveling for 3 hours already. She will get there around 7pm. Julia will order takeaway pizza for her.,When did she get to the store?,Typical Time, 7:00 PM
Kaylee is blocking Gavin and Gavin doesn't care as he finds Kaylee too much irritating.,How many times a week does he block the view of Kaylee?,Frequency, 2 times
Kaylee is blocking Gavin and Gavin doesn't care as he finds Kaylee too much irritating.,How long has Kaylee been blocking his view?,Event Duration, 10 minutes
Kaylee is blocking Gavin and Gavin doesn't care as he finds Kaylee too much irritating.,What happened after he found Kaylee's blocking?,Event Ordering, he got angry
Marika is coming today.,How many times a week does Marika come to work?,Frequency, 5 times
Marika is coming today.,How long will Marika be coming?,Event Duration, 1 hour
Marika is coming today.,When did Marika arrive?,Typical Time, 12:00 PM
Marika is coming today.,What happens after Marika is coming to town?,Event Ordering, she goes to the park
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",How often do Mazie and her friends have a drink?,Frequency, every night
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",How long does she have a drink?,Event Duration, 1 hour
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",When did she have a drink?,Typical Time, 10:00 PM
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",What did they do after having a drink?,Event Ordering, they went home
"Mazie and her girlfriends are having a drink tonight. Lee doesn't like some of her friends, for example Sheryl. Lee had spilt a drink on her.",Is Lee still having a drink after the break?,Stationarity, no
Erin has just baked something that Zachary finds delicious. Zachary wants her to bring him a piece of it as now he's busy cleaning.,How often does Zachary make the cake?,Frequency, every day
Erin has just baked something that Zachary finds delicious. Zachary wants her to bring him a piece of it as now he's busy cleaning.,How long has Erin been busy baking something?,Event Duration, 2 hours
Erin has just baked something that Zachary finds delicious. Zachary wants her to bring him a piece of it as now he's busy cleaning.,When did Erin bake the cake?,Typical Time, 1:00 PM
Erin has just baked something that Zachary finds delicious. Zachary wants her to bring him a piece of it as now he's busy cleaning.,What did he do after he washe's busy baking the cake?,Event Ordering, he ate it
Joseph was happy with two of the three hotel job interviews he had this week.,How many times a week does Joseph go to work?,Frequency, 5 times
Joseph was happy with two of the three hotel job interviews he had this week.,How long did the interview last?,Event Duration, 1 hour
Joseph was happy with two of the three hotel job interviews he had this week.,When did the interviews begin?,Typical Time, 12:00 PM
Joseph was happy with two of the three hotel job interviews he had this week.,What did he do after the interview?,Event Ordering, he went home
Sue wants Graham to give her some dates for weekends in the Romford area. Lady Louise wants another 2 half days and focus on motorways. Graham has 2/3/9/10/16/17/23. Sue will let Graham know when Lady Louise comes back to her.,How long will the weekend be?,Event Duration, 2 days
Sue wants Graham to give her some dates for weekends in the Romford area. Lady Louise wants another 2 half days and focus on motorways. Graham has 2/3/9/10/16/17/23. Sue will let Graham know when Lady Louise comes back to her.,When did she go to the Romford area?,Typical Time, 12:00 PM
Sue wants Graham to give her some dates for weekends in the Romford area. Lady Louise wants another 2 half days and focus on motorways. Graham has 2/3/9/10/16/17/23. Sue will let Graham know when Lady Louise comes back to her.,What happens after she is back in the Romford area?,Event Ordering, she goes to the pub
Brett's cousin met his wife while playing a game together. Andrew's favorite game is the Final Fantasy. Brett and John haven't heard about it.,How often do Brett and John play the Final Fantasy?,Frequency, every week
Brett's cousin met his wife while playing a game together. Andrew's favorite game is the Final Fantasy. Brett and John haven't heard about it.,How long did the game last?,Event Duration, 2 hours
Brett's cousin met his wife while playing a game together. Andrew's favorite game is the Final Fantasy. Brett and John haven't heard about it.,When did they meet?,Typical Time, 1990
Brett's cousin met his wife while playing a game together. Andrew's favorite game is the Final Fantasy. Brett and John haven't heard about it.,What did they do after playing the Final Fantasy?,Event Ordering, they went home
Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,How often does Rael change her career path?,Frequency, once
Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,How long does it take to get to work?,Event Duration, 1 hour
Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,When did Rael start work?,Typical Time, 10:00 AM
Rael finds the atmosphere at her workplace to be unbearable. Many people switch their career paths and move to the IT sector. Rael only needs good analytical skills and an on-line course to start work in IT.,What happens after they move to the IT sector?,Event Ordering, they get a job
Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,How often does she go to the rollerskating disco?,Frequency, once a month
Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,How long did the date last?,Event Duration, 2 hours
Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,When did she go to the rollerskating disco?,Typical Time, 10:00 PM
Susan went on a date to the rollerskating disco and she enjoyed it. Jill doesn't find it exciting.,What did she do after the rollerskating disco?,Event Ordering, went home
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,How often does Joe and Pete watch Deadpool 2?,Frequency, once
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,How long will Joe watch Deadpool 2?,Event Duration, 2 hours
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,When did Joe and Pete meet?,Typical Time, 12:00 PM
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,What happens after Joe and Pete watch Deadpool 2?,Event Ordering, they go home
Joe is going to watch Deadpool 2 with his fellows and Pete will join them.,Is Joe still watching Deadpool 2 after he joins the group?,Stationarity, no
"Euodia didn't know about TikTok application, so Domigo explained what it was.",How many times a week does Domigo explain what it is?,Frequency, once
"Euodia didn't know about TikTok application, so Domigo explained what it was.",How long did it take to learn about TikTok application?,Event Duration, 10 minutes
"Euodia didn't know about TikTok application, so Domigo explained what it was.",When did Domigo explain what it was?,Typical Time, 12:00 PM
"Euodia didn't know about TikTok application, so Domigo explained what it was.",What happened after the application was made?,Event Ordering, people started using it
Hugh shares a photo of his son with Joan and Julia.,How often does Hugh share his son with Julia?,Frequency, once
Hugh shares a photo of his son with Joan and Julia.,How long does it take to share the photo?,Event Duration, 1 minute
Hugh shares a photo of his son with Joan and Julia.,When did he share the photo?,Typical Time, 12:00 PM
Hugh shares a photo of his son with Joan and Julia.,What happened after the photo was shared?,Event Ordering, people started talking
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding.",How often are they in Greece?,Frequency, once a year
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding.",How long will the holidays last?,Event Duration, 1 week
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding.",When did they go to Greece?,Typical Time, in june
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding.",What happens after they are back in Greece?,Event Ordering, they go to the wedding
"Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding.",Is the family still in Greece after the holidays?,Stationarity, no
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes.",How often does Lori meet at the airport?,Frequency, once a year
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes.",How long will the traffic jam last?,Event Duration, 1 hour
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes.",When did she meet with Maria?,Typical Time, 12:00 PM
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes.",What happened after she met with Maria at the airport?,Event Ordering, they went to lunch
"Lori is at Copley. Lori was supposed to meet Maria at Prudential, but misunderstood her. There's a traffic jam, but Lori believes she will meet Maria in several minutes.",Is Maria still at the airport?,Stationarity, no
"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",How often does he travel to other cities to live?,Frequency, once a year
"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",How long has he lived in the suburbs?,Event Duration, 10 years
"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",When did he arrive to the studio apartment?,Typical Time, 12:00 PM
"Randy has been lying about being rich and travelling around the world, as he lives in a studio apartment in the suburbs.",What happens after he is in the suburbs?,Event Ordering, he gets a job
"Telly, Chuck and Ally talk about a New Year's party they will attend.",How often do they attend New Year's party?,Frequency, once a year
"Telly, Chuck and Ally talk about a New Year's party they will attend.",How long will the party last?,Event Duration, 3 hours
"Telly, Chuck and Ally talk about a New Year's party they will attend.",When will the party begin?,Typical Time, 9:00 PM
"Telly, Chuck and Ally talk about a New Year's party they will attend.",What happens after the New Year's party?,Event Ordering, they go home
Karen passed a driving exam.,How many times a week does Karen pass the driving exam?,Frequency, once
Karen passed a driving exam.,How long did the driving exam take?,Event Duration, 1 hour
Karen passed a driving exam.,When did Karen pass the driving exam?,Typical Time, 12:00 PM
Karen passed a driving exam.,What happened after Karen passed the driving exam?,Event Ordering, she got a license
Karen passed a driving exam.,Is Karen still passing the driving exam tomorrow?,Stationarity, no
The particles in Gill's current peeling are too small. She'll try making her own peeling from ground coffee.,How often does she make her own peeling?,Frequency, every week
The particles in Gill's current peeling are too small. She'll try making her own peeling from ground coffee.,How long does it take to make the peeling?,Event Duration, 1 hour
The particles in Gill's current peeling are too small. She'll try making her own peeling from ground coffee.,When did she make the peeling?,Typical Time, 12:00 PM
The particles in Gill's current peeling are too small. She'll try making her own peeling from ground coffee.,What happens after she makes her own peeling?,Event Ordering, she uses it
Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,How often does Ryan visit his family?,Frequency, once a year
Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,How long did the visit?,Event Duration, 2 days
Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,When did they leave home for Christmas?,Typical Time, 12:00 PM
Ryan is visiting family in Manchester for Christmas. Chris stayed home with Ann.,What did they do after visiting the family?,Event Ordering, they went home
Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,How many times a week does Bruce receive donations?,Frequency, once
Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,How long did the campaign last?,Event Duration, 1 week
Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,When did the campaign begin?,Typical Time, 10:00 AM
Bruce informs Oliver that the campaign is more than successful. They have so far won about 200 backers and crowdfunded 6123 dollars.,What happened after the campaign?,Event Ordering, they raised more money
Liam will pick up Kane at 8.,How many times a week does Liam pick up Kane?,Frequency, once
Liam will pick up Kane at 8.,How long will it take to pick up Kane?,Event Duration, 1 hour
Liam will pick up Kane at 8.,When did the Liam pick up Kane?,Typical Time, 10:00 AM
Liam will pick up Kane at 8.,What time of day will they pick up Kane?,Event Ordering, 10:00 AM
Liam will pick up Kane at 8.,Is Kane still in the middle of picking up after the day?,Stationarity, no
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,How often do they fight?,Frequency, once a week
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,How long did the fight last?,Event Duration, 10 minutes
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,When did they have the fight?,Typical Time, last week
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship.,What happened after they had a fight?,Event Ordering, they broke up
Kate had a fight with Chris about refugees. He thinks the U.S. should not accept them. Kate and Mary do not share this opinion. They are having second thoughts about their friendship. Is Kate still having second thoughts about the U.S.,after the fight?,Stationarity, no
"Celine and Mark went skating, it's the first time for Mark.",How many times a week does Mark and Celine go skating?,Frequency, once
"Celine and Mark went skating, it's the first time for Mark.",How long did it take to go skating?,Event Duration, 2 hours
"Celine and Mark went skating, it's the first time for Mark.",When did they go skating?,Typical Time, 1:00 PM
Sarah paid 500 quid to go back home for Passover. Sarah is going to the desert with the whole family. Lia went to Negev last year. Passover is both Lia and Sarah's favorite holiday. Lia will talk to her mum about the tickets. Sarah is flying on the 28th.,How many times a week does Sarah go to the desert?,Frequency, once
Sarah paid 500 quid to go back home for Passover. Sarah is going to the desert with the whole family. Lia went to Negev last year. Passover is both Lia and Sarah's favorite holiday. Lia will talk to her mum about the tickets. Sarah is flying on the 28th.,When did Sarah go to the desert?,Typical Time, 10:00 AM
Sarah paid 500 quid to go back home for Passover. Sarah is going to the desert with the whole family. Lia went to Negev last year. Passover is both Lia and Sarah's favorite holiday. Lia will talk to her mum about the tickets. Sarah is flying on the 28th.,What did Sarah do after the desert?,Event Ordering, went home
"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment.",How many times a week does Jack receive the package?,Frequency, once
"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment.",How long did the package take?,Event Duration, 3 days
"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment.",When did Jack receive the package?,Typical Time, 1:00 PM
"Jack has not received yet the package Gene had sent him on Friday. She sent him the tracking number, so he could check the status of the shipment.",What did he do after receiving the package?,Event Ordering, he opened it
Miranda can't make her meeting with Stephanie as she has to work.,How many times a week does she meet with Stephanie?,Frequency, once
Miranda can't make her meeting with Stephanie as she has to work.,How long does meeting with Stephanie take?,Event Duration, 1 hour
Miranda can't make her meeting with Stephanie as she has to work.,When did she meet with Stephanie?,Typical Time, 12:00 PM
Miranda can't make her meeting with Stephanie as she has to work.,What happens after she has to work?,Event Ordering, she gets home
Miranda can't make her meeting with Stephanie as she has to work.,Is she still working tomorrow?,Stationarity, no
Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,How often will they be waiting?,Frequency, once
Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,How long will it take to prepare the fabro-ficule?,Event Duration, 1 hour
Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,When will they be waiting?,Typical Time, 1:00 PM
Blake will be waiting for Clara and Jenny on the platform a fabro-ficule.,What happens after they are waiting?,Event Ordering, they get on the train
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,How often does he invite them to dinner?,Frequency, once a week
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,How long does the dinner?,Event Duration, 1 hour
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,When does he usually have pizza or pasta?,Typical Time, 6:00 PM
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,What happens after he invites Charlotte over for dinner?,Event Ordering, they go to dinner
Raymond can't decide whether he wants pizza or pasta. He invites Charlotte over for a dinner at 15.,Is he still having pizza or pasta after the dinner?,Stationarity, pasta
"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.",How many times a week does Dwayne watch the new season?,Frequency, once
"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.",How long will the season last?,Event Duration, 12 weeks
"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.",When did Dwayne watch the new season?,Typical Time, 10:00 PM
"Dwayne will watch the new season of ""Jersey Shore"" on Zack's advice. The first episodes of the new season are hilarious. Season 2 is upcoming.",What happens after the season?,Event Ordering, people watch it
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",How many times a week does Will have to wait?,Frequency, once
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",How long does it take to stand in the queue?,Event Duration, 1 hour
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",When did they start to use the internet?,Typical Time, 1990
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",What happens after they are old people?,Event Ordering, they die
"Will had to stand long in a queue at the post. Chris believe it is part of life in a big city. Will believes it is because of old people, who do not use the internet.",Is Will they still have to wait in the post office tomorrow?,Stationarity, no
Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,How often do they go to Cork club?,Frequency, once a month
Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,How long did they go to the club?,Event Duration, 2 hours
Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,When did they go to the club?,Typical Time, 10:00 PM
Ella and Serena went to Cork club last weekend. The club was empty and they did not like it.,What did they do after the club was empty?,Event Ordering, they went home
Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,How often do they visit the Vasa Museum?,Frequency, once
Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,How long will they stay in Stockholm?,Event Duration, 3 days
Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,When did they go to Sweden?,Typical Time, in march
Molly and Margaret are going to Sweden in January. Kai and Peter advise them to stay in Stockholm and visit Vasa Museum.,What happens after they go to Sweden?,Event Ordering, they go to the vasa museum
Frank will join Avril at the races at the weekend.,How often will Frank and Avril go to the races?,Frequency, every week
Frank will join Avril at the races at the weekend.,How long will the race?,Event Duration, 3 hours
Frank will join Avril at the races at the weekend.,When will Frank join Avril at the races?,Typical Time, 12:00 PM
Frank will join Avril at the races at the weekend.,What will they do after the race?,Event Ordering, go home
Frank will join Avril at the races at the weekend.,Is Frank still at the races tomorrow?,Stationarity, no
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,How many times a week does he go to the gym?,Frequency, 2 times
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,How long will they be at the gym?,Event Duration, 1 hour
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,When will they go to the gym?,Typical Time, 10:00 AM
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,What happens after they go to the gym?,Event Ordering, they get a workout
Adam is complaining about going to the gym. Mair will take Adam and Xander to the gym this week. Mel will bring Xander to Mair at half 10.,Is he still at the gym tomorrow?,Stationarity, no
Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,How many times a week does Ethan and Dustin go to the gym?,Frequency, 3 times
Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,How long did Ethan and Dustin go to the gym?,Event Duration, 1 hour
Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,When did Ethan and Dustin go to the gym?,Typical Time, 12:00 PM
Ethan was at the gym yesterday. This week he has been training every day. Ethan and Dustin will come to Ray's place at 8pm.,Is Ethan still at the gym tomorrow?,Stationarity, no
Diana and Fran are going to a hip-hop workshop in a week.,How often are they going to the hip-hop workshop?,Frequency, once
Diana and Fran are going to a hip-hop workshop in a week.,How long will the workshop last?,Event Duration, 2 hours
Diana and Fran are going to a hip-hop workshop in a week.,When did the workshop begin?,Typical Time, 1:00 PM
Diana and Fran are going to a hip-hop workshop in a week.,What happens after the workshop?,Event Ordering, they go home
Diana and Fran are going to a hip-hop workshop in a week.,Is Diana and Fran still going to be together after the workshop?,Stationarity, yes
Pam has probably left her phone when she was shopping. Dot suggests there is a way to get it back.,How often does Pam get her phone back?,Frequency, once
Pam has probably left her phone when she was shopping. Dot suggests there is a way to get it back.,How long was the phone left in the shop?,Event Duration, 2 hours
Pam has probably left her phone when she was shopping. Dot suggests there is a way to get it back.,When did she get it back?,Typical Time, 12:00 PM
"A person was beaten and mugged on campus and had to be hospitalised. The attacker wore a mask. An official statement will be released, along with a newspaper article. Truman and Rodney think the campus security is subpar, even though there are cameras around.",How often does the attackers get a mask?,Frequency, once
"A person was beaten and mugged on campus and had to be hospitalised. The attacker wore a mask. An official statement will be released, along with a newspaper article. Truman and Rodney think the campus security is subpar, even though there are cameras around.",When did the attackers arrive to hospital?,Typical Time, 1:00 PM
"A person was beaten and mugged on campus and had to be hospitalised. The attacker wore a mask. An official statement will be released, along with a newspaper article. Truman and Rodney think the campus security is subpar, even though there are cameras around.",What happened after the attacker was beaten to death?,Event Ordering, the campus security improved
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,How often do they go to the forest?,Frequency, once a month
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,How long will they be in the forest?,Event Duration, 2 hours
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,When will they be back at the forest?,Typical Time, 10:00 PM
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,What time of day will they be back?,Event Ordering, 10:00 PM
Deborah and Nathan want to start packing today as they won't have time tomorrow. They need warm clothes for the girls so Deborah's parents could take them to the forest. Deborah and Nathan want to spend some time alone. They will have a quick bite before their leave. Nathan will be home around 6.,Will they be back tomorrow?,Stationarity, yes
Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead.,How often do they meet?,Frequency, every week
Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead.,How long did the lecture last?,Event Duration, 1 hour
Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead.,When did they meet at the university?,Typical Time, 12:00 PM
Alexander finds Mr Linda's voice monotonous. Igor fell asleep during the lecture. Casper reckons it's a waste of time. They are going to meet near the university and go somewhere else instead.,What happened after they went to the university?,Event Ordering, they went to the park
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,How many times a week does Javier go to work?,Frequency, 5 times
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,How long did the tatoo take?,Event Duration, 1 hour
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,When did Javier get tatoo done?,Typical Time, 1995
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,What happened after Javier had the tatoo done at Warsaw Ink?,Event Ordering, he got a tattoo
Javier was initially eager to have a tatoo done at Warsaw Ink but the price turned out to be too high. Javier decided to have a tatoo done in Colombia.,Is Javier still eager to have tatoo done at Warsaw Ink?,Stationarity, no
Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,How many times a week does Michael go to the hotel?,Frequency, once
Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,When did Michael arrive at the hotel?,Typical Time, 12:00 PM
Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,What happens after Michael is at the hotel?,Event Ordering, he checks in
Sam appreciates the hotel owned by Jessica and Michael. Sam is going there on the 15th August at around 2pm.,Is Michael still at the hotel?,Stationarity, no
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",How often do they go to the beach?,Frequency, once a year
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",How long will the trip take?,Event Duration, 7 days
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",When will they go to the beach?,Typical Time, 10:00 AM
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",What happened after they went to the beach?,Event Ordering, they had fun
"Marsha and John planned the trip. They will spend a week on the beach with Cynthia, Mohammad and Gavin. They will all stay in a hotel in Nosy Be.",Will they be back after the trip?,Stationarity, yes
Cyprien irritates Adelina by giving too many responses.,How often does Adelina receive responses?,Frequency, every day
Cyprien irritates Adelina by giving too many responses.,How long does it take to irritate Adelina?,Event Duration, 10 minutes
Cyprien irritates Adelina by giving too many responses.,When did Adelina receive the response?,Typical Time, 12:00 PM
Cyprien irritates Adelina by giving too many responses.,What happens after the response is irritates Adelina?,Event Ordering, she gets angry
Cyprien irritates Adelina by giving too many responses.,Is Adelina still angry after the response is a response?,Stationarity, no
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3.,How often does Joanna get her dress stained?,Frequency, once
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3.,How long did Joanna get the dress stained?,Event Duration, 1 hour
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3.,When did Joanna get her dress stained?,Typical Time, 12:00 PM
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3.,What did Ethel do after the dry-cleaning?,Event Ordering, she put her dress in a bag
Joanna got her dress stained. Ethel recommends her dry-cleaner at Jagielonska 3.,Is Joanna still at Jagielonska 3?,Stationarity, no
